,Country,Spots
0,Fed. Rep. of Germany,10362
1,Netherlands,5943
2,England,4724
3,Unknown,2690
4,United States,2117
5,France,2090
6,Austria,1966
7,Switzerland,1715
8,European Russia,1445
9,Finland,1301
10,Belgium,1008
11,Italy,873
12,Scotland,785
13,Sweden,772
14,Spain,535
15,Alaska,478
16,Republic of Korea,428
17,Wales,424
18,Norway,405
19,Denmark,379
20,Canary Islands,347
21,Czech Republic,338
22,Greece,291
23,Luxembourg,259
24,Latvia,179
25,Ireland,120
26,Hungary,113
27,Iceland,102
28,Guernsey,83
29,Sicily,75
30,Estonia,40
31,Antarctica,39
32,Slovenia,37
33,Romania,30
34,Australia,22
35,Canada,17
36,Ukraine,12
37,Portugal,5
38,New Zealand,3
39,Northern Ireland,2
40,Belarus,1
41,Croatia,1
42,Philippines,1
43,St. Helena,1
