,rx_sign,rx_loc,distance,Count
396,ZL2005SWL,RE68mx,18408,3
376,VK3TPM,QF22ds,16774,7
377,VK5ARG,PF95ht,16184,15
99,DP0GVN,IB59ui,13984,39
395,ZD7GB,IH74da,7905,1
210,K4DDI,EL95ux,6966,5
224,KV4TT,FM03pt,6207,21
222,KQ4WUH,FM05jl,6102,1
223,KV4CW,EM96we,6102,1
211,K5MO,FM05,6092,12
386,WD4ELG,FM06be,6086,1
266,N8GA-1,EN80ee,5995,7
212,K9TRV,EN82bi,5840,3
214,K9TRV-4,EN82bi,5840,1
213,K9TRV-2,EN82bi,5840,1
202,K1HTV-4,FM18ap,5773,50
225,KX4O,FM18cp,5762,30
203,K1RA,FM18cr,5756,28
204,K1RA-PI,FM18cr,5756,49
208,K3LR,EN91se,5727,11
265,N4TVC/4,FM18is,5722,4
388,WF4V,FM18jr,5720,2
215,KB3EDF,FM18rh,5711,4
389,WS3W,FM19ng,5657,1
387,WF1L/B,FM29fc,5588,11
206,K3GMQ,FN20lh,5464,23
207,K3GMQ/SAS,FN20lh,5464,20
390,WZ7I,FN20kk,5459,79
384,WA2QZP,FN20pg,5446,1
365,SWLFNS,FN20hu,5443,2
382,W2NAF-3,FN21ei,5421,39
381,W2NAF-2,FN21ei,5421,53
218,KD2OM,FN12gx,5410,81
383,W2NNN,FN20rq,5404,1
216,KC2G,FN21wa,5354,82
219,KE2FDW,FN21tg,5350,73
374,VE3EID,FN05gk,5347,5
259,N2HQI,FN13sa,5346,106
263,N3AGE-2,FN30hw,5314,3
262,N3AGE-0,FN30hw,5314,5
385,WA2TP,FN30lu,5299,157
264,N3EYQ,FN21xv,5283,26
261,N2YCH-1,FN31jg,5278,54
260,N2YCH,FN31jg,5278,98
209,K3XT,FN14,5274,8
217,KD2LZI,FN22vt,5225,3
375,VE3OWV,FN15vk,5155,10
373,VE3CWM,FN15xi,5151,2
7,56IGJF,FN42ed,5115,2
205,K1VL,FN33om,5087,3
220,KJ5HY,FN34fh,5075,2
258,N1DQ-1,FN42hn,5069,30
221,KM3T,FN42et,5067,45
9,AB1BZ,FN42ht,5051,10
10,AB1KW,FN43fe,5034,13
380,W1FVB,FN44fl,4942,4
378,W1/AJ8S,FN44mf,4924,17
379,W1BW,FN54nh,4790,8
100,DP0POL,IR32mu,3114,1
105,EA8BFK,IL38bo,3100,347
394,YO4KMU,KN43gw,2471,22
371,UB3AQI,KO85vt,2451,25
354,R2BIY,KO85to,2446,8
370,UA3245SWL,KO85nt,2410,72
393,YO3IVV,KN34ak,2283,8
195,IT9JFW,JM68qc,2189,75
372,UR5NLA,KN49ff,2128,12
369,TOLYAN,KO40ns,2092,19
104,EA7CL,IM76sr,2046,13
290,OH7FES,KP53bh,1998,7
11,CT1EDG,IM58hr,1904,5
392,YO2LOJ-WRX,KN05or,1902,1
8,9A/S50SVM,JN82iv,1885,1
110,EU1ST,KO33tu,1877,1
192,I0UVN,JN61nl,1848,263
107,EC5M,IM98ro,1827,25
198,IZ0FKE,JN61fw,1777,206
280,OH2BUA,KP30bx,1743,62
106,EB5TC,IM99tk,1735,114
391,YL3LJ,KO26rr,1684,179
282,OH3FR,KP20,1671,2
286,OH3N0CALL,KP20gs,1655,16
201,IZ6QQTRX,JN63,1653,138
287,OH6AC,KP12lx,1643,3
284,OH3LMN/KIWI,KP11wm,1638,343
281,OH3CUF,KP11wl,1637,217
109,ES2RR,KO29hg,1636,40
177,HA5GB,JN97ba,1629,113
288,OH6AH,KP12kr,1629,10
200,IZ6QQT,JN63hr,1615,185
283,OH3FZQ,KP11ql,1612,190
194,IQ5VK,JN52gw,1602,5
285,OH3MZ,KP11mk,1593,3
193,IK4PKL,JN64gb,1581,2
289,OH6BG,KP03qa,1571,448
368,TF4WD,IP05er,1540,102
196,IU5MQQ,JN53nu,1538,4
355,S59DGO,JN75cn,1529,37
102,EA1FAQ,IN71pn,1514,257
351,PHONEMARX,JN01ur,1497,178
274,OE6RHT,JN77sb,1480,3
273,OE3XOE,JN87aq,1462,332
270,OE3GBB/Q2,JN87aq,1462,437
111,F1GAL,JN33bc,1436,11
271,OE3ICA,JN88ah,1418,1
117,F4TXR,JN33ps,1402,186
272,OE3MUC,JN78sk,1380,14
199,IZ3EYY,JN55rs,1377,2
294,OK2IP,JN89ef,1377,70
115,F4KKF,JN23mn,1359,28
103,EA2RCF,IN82pu,1356,126
295,OK2PYA,JN79ug,1334,134
363,SWL-JN44,JN44ar,1332,9
112,F1JSC,JN03ge,1324,9
230,LB9YE,JP54pu,1301,83
197,IW2DZX,JN45kp,1275,68
114,F4JNI,JN24jk,1261,10
67,DL0PF,JN68rn,1253,423
367,SWL_IKHTIAR,JO89vg,1253,7
77,DL2RN,JN68cd,1216,2
184,HB9TMC,JN46lj,1208,549
277,OE9RWH,JN57cg,1186,3
292,OK1HRA,JO60wa,1178,91
93,DL9SW,JN58rd,1176,92
74,DL2JA,JN58vk,1171,211
291,OK1CT,JN69qq,1170,3
59,DK8FT,JN58oe,1160,466
276,OE9GHV,JN47wk,1156,636
72,DL1GCD/8,JN58oh,1150,2
71,DL1GCD/1,JN58oh,1150,20
360,SDR-JN69BA,JN69ba,1146,54
275,OE9BKJ,JN47ul,1145,24
13,DARCT13,JN47wn,1145,366
278,OE9TAV,JN47tk,1144,389
101,DX1BY,JN69fh,1143,1
279,OE9XRV,JN47um,1141,564
20,DC1RDB,JN58ss,1132,347
128,F5DJL,JN36cd,1127,3
188,HB9VQQ/KS,JN47kh,1121,474
186,HB9VQQ/KE,JN47kh,1121,401
185,HB9VQQ,JN47kh,1121,519
189,HB9VQQ/RE,JN47kh,1121,394
187,HB9VQQ/KL,JN47kh,1121,477
191,HB9VQQ/RS,JN47kh,1121,471
190,HB9VQQ/RL,JN47kh,1121,475
293,OK1MGJ,JO60qn,1116,40
357,SA5CHW,JO78tn,1113,75
28,DD4MN,JO61uc,1105,1
183,HB9JBP,JN47hj,1102,261
85,DL4RU,JN69cr,1100,455
91,DL9GCW,JN48vc,1095,103
178,HB9AK,JN36pv,1093,12
181,HB9GZW,JN47bj,1081,319
182,HB9HXZ,JN47bk,1077,52
125,F4WCW,JN05lp,1057,30
179,HB9FED,JN37um,1052,1
180,HB9FZG,JN37tm,1048,2
33,DF1GP,JN59ll,1048,13
127,F5AHD,JN37ro,1033,5
113,F1VAM3,JN37ro,1033,182
35,DF4UE,JN48rr,1027,192
95,DN9DSF,JN59mu,1026,27
94,DM1LGF,JO61gh,1023,4
24,DC7JZB/1,JO62qj,1022,7
26,DC7TO,JO62qk,1020,229
15,DB0NT,JN48pr,1019,125
25,DC7JZB/2,JO62ql,1018,7
78,DL2RXE,JO62ma,1018,122
126,F5178SWL,JN37km,1017,47
29,DD5XX,JN48ps,1016,391
64,DK9PA,JO62pl,1013,12
37,DF7II,JO62nj,1006,36
46,DJ2MG,JN48nt,1004,19
52,DK3SS,JN49qa,1000,167
82,DL3ROB,JO62lj,996,1
50,DK0ABT,JN49pb,992,276
14,DB0NMB-R,JO51wd,992,3
356,SA4BNA,JO69go,985,383
358,SA6BSS/HL,JO68sc,983,428
88,DL5UY,JN48ft,971,14
47,DJ6DK,JN48fw,961,427
40,DG1ATN,JO50kq,961,178
51,DK2DB,JN48fw,961,358
27,DD0MS,JN49ab,930,17
19,DC1FN,JN49mr,927,1
362,SM7IUN,JO65mr,923,221
57,DK6HS,JN39xd,919,5
361,SH7KAT,JO65,919,1
226,LA1HAX,JO59jw,916,12
92,DL9MG,JN49hp,912,5
359,SA7LIL,JO66ib,902,92
53,DK4RW/1,JO40oe,902,317
58,DK6UG,JN49cm,901,542
21,DC1UI,JN49aq,879,20
308,OZ7IT,JO65df,878,365
307,OZ2JBR,JO65di,877,11
80,DL3EL,JO40hd,874,309
227,LA6LLA,JO49vx,871,302
84,DL4JC,JN39lh,858,39
87,DL4ZBE,JO40ba,857,499
228,LB1R,JO49uq,849,7
306,OZ1PFH,JO54tq,842,3
31,DE2FDK,JO41rh,840,48
49,DJ9BS,JN39pr,839,305
118,F4VTQ,JN28ux,834,428
119,F4VTQ/F,JN28ux,834,29
120,F4VTQ/H,JN28ux,834,70
123,F4VTQ/R,JN28ux,834,282
124,F4VTQ/S,JN28ux,834,322
121,F4VTQ/K,JN28ux,834,228
122,F4VTQ/M,JN28ux,834,249
56,DK5RH,JO54,803,1
231,LX1LC,JN39ep,803,259
34,DF3KO,JO54ib,796,63
43,DG3LV,JO53gv,790,3
86,DL4XJ,JO42un,787,18
44,DH2RAL,JO41lu,778,22
16,DB1UJ-1,JO41jr,776,110
22,DC1UL,JO41lv,776,15
69,DL1BOK,JO41ad,771,1
41,DG1DBX,JO31wd,761,22
48,DJ7RL,JO43vn,752,15
81,DL3KBJ,JO30nr,751,1
229,LB5MA,JP20kt,746,1
97,DO5NL,JO43sk,741,3
39,DF9GK,JO44xj,741,1
89,DL8SEL,JO31vl,734,164
36,DF6DBF,JO31si,729,12
38,DF8OE,JO42jr,723,313
98,DO6LSM,JO44tm,718,33
32,DF1DR,JO31rm,713,430
96,DO3BOX,JO30gu,712,35
55,DK5HH/4,JO43jb,708,7
65,DL0BR/1,JO43jb,708,285
66,DL0HT,JO43jb,708,15
54,DK5HH,JO43jb,708,24
90,DL8YCA,JO31pl,707,31
83,DL4EAI,JO31je,700,32
12,DA1TWD,JO31jf,697,1
30,DD9LH,JO44ne,693,4
23,DC5AL-R,JO31lk,691,378
73,DL1XH,JO43lw,688,182
17,DB3GW,JO43ge,688,1
336,PD0BTW,JO31,688,1
79,DL2ZZ,JO31lo,680,372
75,DL2PK,JO31ik,678,34
76,DL2PK/7,JO31ik,678,5
42,DG2BDU,JO43ho,677,2
333,PA5OXW,JO20vv,671,63
60,DK8JP,JO31gk,669,30
62,DK8JP/2,JO31gk,669,49
61,DK8JP/1,JO31gk,669,92
18,DB6WZ-SDR,JO32qd,669,7
63,DK8JP/3,JO31gk,669,9
70,DL1ECN-8,JO32uo,663,295
299,ON4RST,JO20os,654,106
345,PE0MJX,JO31ai,649,479
303,ON7AN,JO20ek,646,92
297,ON3MB,JO20nu,643,104
68,DL1BAJ,JO43ap,639,332
353,PI4THT,JO32kf,635,376
300,ON4WVC,JO21oa,633,38
329,PA4PGU,JO21xq,620,1
296,ON2PAT,JO21pf,620,107
174,GU3ONJ,IN89rl,620,83
268,NL3EHV,JO21rk,613,1
45,DJ2DS-1,JO33sn,611,463
116,F4MZI,JO10rk,610,153
325,PA3JH,JO21rl,609,137
322,PA3BAS,JO21xx,600,92
311,PA0KNW,JO33md,597,45
338,PD0OHW,JO33lc,594,485
344,PE0F,JO21tu,591,95
330,PA5JAN,JO33kb,591,5
348,PE1RZM,JO33lh,585,187
312,PA0LSB,JO21,584,214
315,PA0SLT/3,JO33kf,583,351
309,PA0EMS,JO33li,583,41
317,PA0SLT/5,JO33kg,581,350
316,PA0SLT/4,JO33kg,581,373
321,PA2GP,JO33hb,576,104
340,PD1Z,JO21ot,572,110
364,SWL/HU1UB,JO21jn,570,291
301,ON5KQ,JO10os,570,402
298,ON4CDJ,JO11wc,566,156
337,PD0FEW,JO33ge,565,4
366,SWLJO22,JO22rd,561,326
324,PA3GEO,JO21cj,556,8
352,PI4RSZ,JO21hp,555,375
302,ON6FV,JO11qa,553,3
327,PA3X,JO22of,542,1
318,PA0SLT/A,JO22xx,540,256
343,PD3RFR,JO22md,539,18
323,PA3BTI,JO22og,539,43
341,PD2BAS,JO22nf,538,4
334,PA5UKW,JO33ci,537,15
335,PC7A,JO33bg,536,1
331,PA5KT,JO11wl,534,64
332,PA5KT-15,JO11wl,534,231
342,PD2RPS,JO22vw,532,3
347,PE1NWL,JO22ia,531,127
269,NL9222,JO22ke,527,57
350,PG2A,JO21ev,523,187
267,NL13951,JO21ev,523,29
328,PA4HJH,JO22su,522,312
319,PA11322,JO21ct,522,12
313,PA0OCD/1,JO22li,520,1
314,PA0RDT,JO11tm,519,285
310,PA0GHH,JO22lj,518,14
304,ONL12087,JO11lf,517,359
146,G4DND,IO80bo,515,86
339,PD1EG-KI,JO22fc,512,142
320,PA1JMS,JO21cx,509,406
349,PE4A,JO22il,498,3
346,PE1NSU,JO22lr,496,72
232,M0GWC,IO80jq,495,6
305,OPENWEBRXNL,JO22jp,492,12
326,PA3WLE,JO22is,480,4
155,G4ZFQ,IO90ir,478,475
243,M5ADL,IO80xs,474,14
1,2E0FWE,IO90bs,473,4
164,G8URE,IO90pt,471,261
153,G4MSA,IO90au,464,44
142,G3ZMS,IO90ww,464,1
149,G4GCI,IO90gu,463,10
163,G8PBJ,JO01hb,463,7
248,M7GAQE,IO90xx,460,10
141,G3XUP,IO90wx,459,20
5,2E0XFD,JO01ng,453,55
152,G4LRP,IO91ta,452,77
131,G0IFI,IO81ld,442,77
234,M0KNC-RX,IO91hb,440,10
158,G7JUR,IO91of,425,356
3,2E0KMY,IO91kg,418,1
154,G4SZM,IO81mi,418,2
137,G0WZM/A,IO91ui,416,17
144,G4CAO,IO91si,414,119
150,G4HZX,IO91xk,411,468
236,M0OPK,IO91oi,411,90
133,G0KTN,IO81ti,411,454
254,MM0SJN,IO77dt,402,110
159,G7UVW,JO01bn,400,262
145,G4DEU,IO81sl,399,2
160,G7VRD,IO81rl,399,1
245,M7CBO,JO01nt,398,4
252,M7WWX,IO81jo,396,95
161,G8NGR,IO91,395,2
249,M7IKG,IO81rm,395,45
239,M0XDC,JO01dq,390,6
157,G7FPE,JO01bq,387,2
139,G1MUM,IO91cn,385,12
140,G3VPW,IO91gp,375,255
108,EI4ACB,IO62xx,371,120
176,GW8IKH,IO81iu,371,5
151,G4LEN,IO81ut,360,2
257,N0CALL,IO81vu,355,4
148,G4ENZ,IO81vv,350,35
233,M0HZE,IO81qw,350,2
250,M7JVF,IO91mw,345,5
135,G0PDR/1,IO81ww,345,1
242,M1LCR,IO82nc,336,1
240,M0ZRN,IO92xd,335,4
251,M7TXP,IO92ob,333,5
167,GM0UDL,IO77vo,331,18
241,M1JKL,IO82tc,329,27
247,M7DOY,IO82vc,327,410
6,2M0JAT,IO77vl,319,6
256,MW7SIF,IO72wo,318,203
165,GI0KMX,IO64uo,308,2
168,GM1OXB,IO87lp,306,27
0,2E0DSS,IO82xl,285,246
244,M6GQU,IO92fm,278,96
166,GM0DYU,IO97bk,270,2
2,2E0ILY/KIWI,IO82qv,247,227
175,GW2HFR,IO83ib,246,216
237,M0UNI,IO82rw,241,12
235,M0LLP,IO87wc,234,19
129,G0DUB,IO83oe,220,1
136,G0VOK,IO83rg,205,25
169,GM4BLO,IO75tv,203,3
172,GM4EIW,IO75xw,188,13
147,G4DUK,IO93ii,186,62
132,G0JEI,IO93,174,69
130,G0IDE,IO83pq,166,2
156,G6JTB,IO83pr,162,1
255,MM3NDH,IO86ha,160,42
138,G1EUH,IO83nt,160,71
4,2E0SHD,IO83ss,151,11
170,GM4DIJ,IO85iw,150,262
173,GM4JRT/A,IO85jw,146,100
171,GM4DTH,IO85jw,146,156
253,MM0GSQ,IO85kw,143,46
238,M0VOB-SDR,IO93dt,135,49
162,G8ORM,IO93cu,131,1
143,G4APP,IO94du,21,43
246,M7CWX,IO94hw,14,1
134,G0OHK,IO94fv,14,5
